s,m/s,m/s,m/s,m/s,m/s,m/s,m/s,m/s,m/s,m/s,m/s,m/s,m/s,m/s,m/s,m/s
Time,"Profile","Profile","Profile","Profile","Profile","Profile","Profile","Profile","Profile","Profile","Profile","Profile","Profile","Profile","Profile","Profile"
 0.0000000E+000, 3.5746222E+001, 3.6001669E+001, 3.6233201E+001, 3.6379116E+001, 3.6377304E+001, 3.6186676E+001, 3.5806808E+001, 3.5286281E+001, 3.4713719E+001, 3.4193192E+001, 3.3813324E+001, 3.3622696E+001, 3.3620884E+001, 3.3766799E+001, 3.3998331E+001, 3.4253778E+001
 1.1114286E-004, 3.5724349E+001, 3.5972320E+001, 3.6197050E+001, 3.6338648E+001, 3.6336853E+001, 3.6151813E+001, 3.5783118E+001, 3.5277879E+001, 3.4722080E+001, 3.4216751E+001, 3.3847976E+001, 3.3662957E+001, 3.3661279E+001, 3.3803011E+001, 3.4027820E+001, 3.4275801E+001
 2.2228571E-004, 3.5661984E+001, 3.5888647E+001, 3.6094006E+001, 3.6223336E+001, 3.6221642E+001, 3.6052579E+001, 3.5715747E+001, 3.5254072E+001, 3.4746022E+001, 3.4283969E+001, 3.3946757E+001, 3.3777668E+001, 3.3776321E+001, 3.3906102E+001, 3.4111751E+001, 3.4338472E+001
 3.3342857E-004, 3.5568835E+001, 3.5763690E+001, 3.5940178E+001, 3.6051297E+001, 3.6049876E+001, 3.5904751E+001, 3.5615507E+001, 3.5218826E+001, 3.4781989E+001, 3.4384456E+001, 3.4094256E+001, 3.3948821E+001, 3.3947848E+001, 3.4059717E+001, 3.4236759E+001, 3.4431790E+001
 4.4457142E-004, 3.5458591E+001, 3.5615829E+001, 3.5758241E+001, 3.5847954E+001, 3.5847004E+001, 3.5730277E+001, 3.5497306E+001, 3.5177430E+001, 3.4824755E+001, 3.4503483E+001, 3.4268807E+001, 3.4151215E+001, 3.4150529E+001, 3.4241099E+001, 3.4384273E+001, 3.4541864E+001
 5.5571428E-004, 3.5345816E+001, 3.5464612E+001, 3.5572260E+001, 3.5640208E+001, 3.5639833E+001, 3.5552143E+001, 3.5376619E+001, 3.5135176E+001, 3.4868537E+001, 3.4625290E+001, 3.4447422E+001, 3.4358246E+001, 3.4357726E+001, 3.4426387E+001, 3.4534863E+001, 3.4654173E+001
 6.6685714E-004, 3.5242938E+001, 3.5326695E+001, 3.5402692E+001, 3.5450843E+001, 3.5450986E+001, 3.5389673E+001, 3.5266385E+001, 3.5096385E+001, 3.4908278E+001, 3.4736388E+001, 3.4610525E+001, 3.4547346E+001, 3.4546924E+001, 3.4595485E+001, 3.4672203E+001, 3.4756535E+001
 7.7799999E-004, 3.5158143E+001, 3.5213031E+001, 3.5262951E+001, 3.5294764E+001, 3.5295241E+001, 3.5255501E+001, 3.5175097E+001, 3.5063927E+001, 3.4940685E+001, 3.4827892E+001, 3.4745193E+001, 3.4703624E+001, 3.4703307E+001, 3.4735208E+001, 3.4785618E+001, 3.4841005E+001
 8.8914285E-004, 3.5094693E+001, 3.5127963E+001, 3.5158337E+001, 3.5177852E+001, 3.5178456E+001, 3.5154708E+001, 3.5106280E+001, 3.5039135E+001, 3.4964592E+001, 3.4896306E+001, 3.4846206E+001, 3.4821014E+001, 3.4820837E+001, 3.4840210E+001, 3.4870809E+001, 3.4904404E+001
 1.0002857E-003, 3.5051595E+001, 3.5070146E+001, 3.5087183E+001, 3.5098259E+001, 3.5098851E+001, 3.5085882E+001, 3.5059140E+001, 3.5021949E+001, 3.4980623E+001, 3.4942772E+001, 3.4915023E+001, 3.4901106E+001, 3.4901079E+001, 3.4911906E+001, 3.4928957E+001, 3.4947644E+001
 1.1114286E-003, 3.5025130E+001, 3.5034595E+001, 3.5043378E+001, 3.5049203E+001, 3.5049733E+001, 3.5043365E+001, 3.5029972E+001, 3.5011246E+001, 3.4990418E+001, 3.4971362E+001, 3.4957434E+001, 3.4950509E+001, 3.4950599E+001, 3.4956159E+001, 3.4964836E+001, 3.4974303E+001
 1.2225714E-003, 3.5010554E+001, 3.5014972E+001, 3.5019155E+001, 3.5022038E+001, 3.5022510E+001, 3.5019795E+001, 3.5013809E+001, 3.5005329E+001, 3.4995856E+001, 3.4987196E+001, 3.4980905E+001, 3.4977840E+001, 3.4977993E+001, 3.4980635E+001, 3.4984673E+001, 3.4989029E+001
 1.3337143E-003, 3.5003446E+001, 3.5005367E+001, 3.5007265E+001, 3.5008678E+001, 3.5009108E+001, 3.5008193E+001, 3.5005867E+001, 3.5002442E+001, 3.4998560E+001, 3.4995001E+001, 3.4992442E+001, 3.4991255E+001, 3.4991427E+001, 3.4992632E+001, 3.4994389E+001, 3.4996231E+001
 1.4448571E-003, 3.5000434E+001, 3.5001267E+001, 3.5002165E+001, 3.5002927E+001, 3.5003322E+001, 3.5003173E+001, 3.5002422E+001, 3.5001182E+001, 3.4999718E+001, 3.4998362E+001, 3.4997412E+001, 3.4997030E+001, 3.4997206E+001, 3.4997788E+001, 3.4998558E+001, 3.4999314E+001
 1.5560000E-003, 3.4999346E+001, 3.4999765E+001, 3.5000277E+001, 3.5000778E+001, 3.5001142E+001, 3.5001259E+001, 3.5001083E+001, 3.5000657E+001, 3.5000107E+001, 3.4999595E+001, 3.4999269E+001, 3.4999205E+001, 3.4999390E+001, 3.4999738E+001, 3.5000132E+001, 3.5000473E+001
 1.6671428E-003, 3.4999008E+001, 3.4999283E+001, 3.4999657E+001, 3.5000058E+001, 3.5000394E+001, 3.5000583E+001, 3.5000585E+001, 3.5000425E+001, 3.5000186E+001, 3.4999976E+001, 3.4999883E+001, 3.4999948E+001, 3.5000149E+001, 3.5000421E+001, 3.5000685E+001, 3.5000879E+001
 1.7782857E-003, 3.4998903E+001, 3.4999122E+001, 3.4999439E+001, 3.4999797E+001, 3.5000117E+001, 3.5000324E+001, 3.5000384E+001, 3.5000315E+001, 3.5000187E+001, 3.5000088E+001, 3.5000088E+001, 3.5000210E+001, 3.5000427E+001, 3.5000678E+001, 3.5000898E+001, 3.5001037E+001
 1.8894286E-003, 3.4998856E+001, 3.4999044E+001, 3.4999331E+001, 3.4999667E+001, 3.4999978E+001, 3.5000198E+001, 3.5000289E+001, 3.5000266E+001, 3.5000189E+001, 3.5000138E+001, 3.5000176E+001, 3.5000323E+001, 3.5000549E+001, 3.5000796E+001, 3.5001001E+001, 3.5001118E+001
 2.0005714E-003, 3.4998828E+001, 3.4998997E+001, 3.4999266E+001, 3.4999589E+001, 3.4999896E+001, 3.5000124E+001, 3.5000236E+001, 3.5000241E+001, 3.5000193E+001, 3.5000167E+001, 3.5000222E+001, 3.5000379E+001, 3.5000610E+001, 3.5000857E+001, 3.5001057E+001, 3.5001166E+001
 2.1117143E-003, 3.4998816E+001, 3.4998974E+001, 3.4999233E+001, 3.4999546E+001, 3.4999849E+001, 3.5000078E+001, 3.5000196E+001, 3.5000214E+001, 3.5000183E+001, 3.5000173E+001, 3.5000241E+001, 3.5000407E+001, 3.5000643E+001, 3.5000892E+001, 3.5001091E+001, 3.5001197E+001
 2.2228571E-003, 3.4998813E+001, 3.4998965E+001, 3.4999218E+001, 3.4999525E+001, 3.4999822E+001, 3.5000045E+001, 3.5000161E+001, 3.5000182E+001, 3.5000159E+001, 3.5000161E+001, 3.5000244E+001, 3.5000421E+001, 3.5000665E+001, 3.5000918E+001, 3.5001117E+001, 3.5001221E+001
 2.3340000E-003, 3.4998810E+001, 3.4998959E+001, 3.4999207E+001, 3.4999510E+001, 3.4999802E+001, 3.5000021E+001, 3.5000133E+001, 3.5000153E+001, 3.5000134E+001, 3.5000145E+001, 3.5000240E+001, 3.5000429E+001, 3.5000682E+001, 3.5000939E+001, 3.5001139E+001, 3.5001241E+001
 2.4451428E-003, 3.4998804E+001, 3.4998948E+001, 3.4999192E+001, 3.4999492E+001, 3.4999783E+001, 3.5000002E+001, 3.5000116E+001, 3.5000138E+001, 3.5000121E+001, 3.5000137E+001, 3.5000237E+001, 3.5000433E+001, 3.5000691E+001, 3.5000952E+001, 3.5001154E+001, 3.5001257E+001
 2.5562857E-003, 3.4998796E+001, 3.4998936E+001, 3.4999176E+001, 3.4999474E+001, 3.4999765E+001, 3.4999987E+001, 3.5000106E+001, 3.5000133E+001, 3.5000120E+001, 3.5000137E+001, 3.5000237E+001, 3.5000433E+001, 3.5000693E+001, 3.5000957E+001, 3.5001163E+001, 3.5001268E+001
 2.6674285E-003, 3.4998790E+001, 3.4998927E+001, 3.4999164E+001, 3.4999460E+001, 3.4999751E+001, 3.4999974E+001, 3.5000097E+001, 3.5000128E+001, 3.5000119E+001, 3.5000137E+001, 3.5000237E+001, 3.5000432E+001, 3.5000693E+001, 3.5000959E+001, 3.5001167E+001, 3.5001275E+001
 2.7785714E-003, 3.4998787E+001, 3.4998922E+001, 3.4999158E+001, 3.4999451E+001, 3.4999740E+001, 3.4999962E+001, 3.5000083E+001, 3.5000116E+001, 3.5000109E+001, 3.5000132E+001, 3.5000235E+001, 3.5000433E+001, 3.5000696E+001, 3.5000963E+001, 3.5001173E+001, 3.5001281E+001
 2.8897143E-003, 3.4998786E+001, 3.4998920E+001, 3.4999154E+001, 3.4999446E+001, 3.4999732E+001, 3.4999950E+001, 3.5000069E+001, 3.5000099E+001, 3.5000094E+001, 3.5000121E+001, 3.5000230E+001, 3.5000434E+001, 3.5000701E+001, 3.5000970E+001, 3.5001180E+001, 3.5001289E+001
 3.0008571E-003, 3.4998784E+001, 3.4998916E+001, 3.4999149E+001, 3.4999440E+001, 3.4999725E+001, 3.4999941E+001, 3.5000058E+001, 3.5000087E+001, 3.5000082E+001, 3.5000111E+001, 3.5000224E+001, 3.5000433E+001, 3.5000704E+001, 3.5000975E+001, 3.5001186E+001, 3.5001295E+001
 3.1120000E-003, 3.4998780E+001, 3.4998911E+001, 3.4999142E+001, 3.4999433E+001, 3.4999718E+001, 3.4999936E+001, 3.5000054E+001, 3.5000084E+001, 3.5000079E+001, 3.5000107E+001, 3.5000220E+001, 3.5000430E+001, 3.5000702E+001, 3.5000975E+001, 3.5001188E+001, 3.5001298E+001
 3.2231428E-003, 3.4998776E+001, 3.4998905E+001, 3.4999135E+001, 3.4999425E+001, 3.4999711E+001, 3.4999932E+001, 3.5000053E+001, 3.5000085E+001, 3.5000081E+001, 3.5000107E+001, 3.5000218E+001, 3.5000426E+001, 3.5000698E+001, 3.5000972E+001, 3.5001187E+001, 3.5001299E+001
 3.3342857E-003, 3.4998773E+001, 3.4998901E+001, 3.4999131E+001, 3.4999420E+001, 3.4999705E+001, 3.4999926E+001, 3.5000049E+001, 3.5000083E+001, 3.5000080E+001, 3.5000107E+001, 3.5000217E+001, 3.5000424E+001, 3.5000695E+001, 3.5000970E+001, 3.5001186E+001, 3.5001299E+001
 3.4454285E-003, 3.4998772E+001, 3.4998900E+001, 3.4999129E+001, 3.4999417E+001, 3.4999701E+001, 3.4999920E+001, 3.5000041E+001, 3.5000075E+001, 3.5000073E+001, 3.5000103E+001, 3.5000215E+001, 3.5000424E+001, 3.5000696E+001, 3.5000971E+001, 3.5001187E+001, 3.5001301E+001
 3.5565714E-003, 3.4998771E+001, 3.4998899E+001, 3.4999128E+001, 3.4999415E+001, 3.4999697E+001, 3.4999914E+001, 3.5000032E+001, 3.5000065E+001, 3.5000063E+001, 3.5000095E+001, 3.5000212E+001, 3.5000424E+001, 3.5000699E+001, 3.5000975E+001, 3.5001191E+001, 3.5001304E+001
 3.6677142E-003, 3.4998770E+001, 3.4998897E+001, 3.4999125E+001, 3.4999412E+001, 3.4999695E+001, 3.4999911E+001, 3.5000028E+001, 3.5000059E+001, 3.5000057E+001, 3.5000090E+001, 3.5000208E+001, 3.5000423E+001, 3.5000699E+001, 3.5000977E+001, 3.5001193E+001, 3.5001306E+001
 3.7788571E-003, 3.4998768E+001, 3.4998894E+001, 3.4999121E+001, 3.4999409E+001, 3.4999692E+001, 3.4999910E+001, 3.5000029E+001, 3.5000061E+001, 3.5000058E+001, 3.5000089E+001, 3.5000206E+001, 3.5000419E+001, 3.5000696E+001, 3.5000975E+001, 3.5001192E+001, 3.5001307E+001
 3.8900000E-003, 3.4998765E+001, 3.4998891E+001, 3.4999118E+001, 3.4999405E+001, 3.4999689E+001, 3.4999909E+001, 3.5000030E+001, 3.5000064E+001, 3.5000062E+001, 3.5000091E+001, 3.5000205E+001, 3.5000416E+001, 3.5000692E+001, 3.5000971E+001, 3.5001190E+001, 3.5001306E+001
 4.0011428E-003, 3.4998764E+001, 3.4998889E+001, 3.4999116E+001, 3.4999403E+001, 3.4999687E+001, 3.4999906E+001, 3.5000028E+001, 3.5000064E+001, 3.5000062E+001, 3.5000092E+001, 3.5000206E+001, 3.5000416E+001, 3.5000690E+001, 3.5000969E+001, 3.5001188E+001, 3.5001305E+001
 4.1122857E-003, 3.4998764E+001, 3.4998889E+001, 3.4999116E+001, 3.4999403E+001, 3.4999685E+001, 3.4999903E+001, 3.5000023E+001, 3.5000058E+001, 3.5000057E+001, 3.5000089E+001, 3.5000205E+001, 3.5000417E+001, 3.5000692E+001, 3.5000971E+001, 3.5001190E+001, 3.5001307E+001
 4.2234285E-003, 3.4998764E+001, 3.4998890E+001, 3.4999117E+001, 3.4999403E+001, 3.4999684E+001, 3.4999900E+001, 3.5000019E+001, 3.5000051E+001, 3.5000051E+001, 3.5000085E+001, 3.5000204E+001, 3.5000418E+001, 3.5000696E+001, 3.5000975E+001, 3.5001193E+001, 3.5001309E+001
 4.3345714E-003, 3.4998764E+001, 3.4998889E+001, 3.4999116E+001, 3.4999402E+001, 3.4999684E+001, 3.4999900E+001, 3.5000018E+001, 3.5000050E+001, 3.5000049E+001, 3.5000082E+001, 3.5000202E+001, 3.5000418E+001, 3.5000697E+001, 3.5000976E+001, 3.5001194E+001, 3.5001310E+001
 4.4457142E-003, 3.4998763E+001, 3.4998888E+001, 3.4999115E+001, 3.4999401E+001, 3.4999684E+001, 3.4999902E+001, 3.5000022E+001, 3.5000055E+001, 3.5000053E+001, 3.5000084E+001, 3.5000202E+001, 3.5000416E+001, 3.5000694E+001, 3.5000975E+001, 3.5001194E+001, 3.5001310E+001
 4.5568571E-003, 3.4998762E+001, 3.4998887E+001, 3.4999113E+001, 3.4999400E+001, 3.4999684E+001, 3.4999904E+001, 3.5000026E+001, 3.5000060E+001, 3.5000059E+001, 3.5000089E+001, 3.5000204E+001, 3.5000416E+001, 3.5000692E+001, 3.5000972E+001, 3.5001192E+001, 3.5001310E+001
 4.6680000E-003, 3.4998762E+001, 3.4998888E+001, 3.4999114E+001, 3.4999401E+001, 3.4999685E+001, 3.4999904E+001, 3.5000026E+001, 3.5000062E+001, 3.5000061E+001, 3.5000092E+001, 3.5000206E+001, 3.5000418E+001, 3.5000693E+001, 3.5000973E+001, 3.5001193E+001, 3.5001310E+001
 4.7791428E-003, 3.4998764E+001, 3.4998890E+001, 3.4999117E+001, 3.4999404E+001, 3.4999687E+001, 3.4999904E+001, 3.5000025E+001, 3.5000059E+001, 3.5000060E+001, 3.5000092E+001, 3.5000209E+001, 3.5000422E+001, 3.5000698E+001, 3.5000977E+001, 3.5001196E+001, 3.5001313E+001
 4.8902857E-003, 3.4998767E+001, 3.4998893E+001, 3.4999121E+001, 3.4999407E+001, 3.4999689E+001, 3.4999906E+001, 3.5000025E+001, 3.5000058E+001, 3.5000058E+001, 3.5000092E+001, 3.5000212E+001, 3.5000427E+001, 3.5000704E+001, 3.5000983E+001, 3.5001201E+001, 3.5001316E+001
 5.0014285E-003, 3.4998768E+001, 3.4998895E+001, 3.4999123E+001, 3.4999410E+001, 3.4999693E+001, 3.4999911E+001, 3.5000030E+001, 3.5000063E+001, 3.5000061E+001, 3.5000095E+001, 3.5000214E+001, 3.5000430E+001, 3.5000708E+001, 3.5000987E+001, 3.5001204E+001, 3.5001319E+001
 5.1125714E-003, 3.4998769E+001, 3.4998896E+001, 3.4999125E+001, 3.4999413E+001, 3.4999698E+001, 3.4999918E+001, 3.5000039E+001, 3.5000073E+001, 3.5000071E+001, 3.5000102E+001, 3.5000219E+001, 3.5000432E+001, 3.5000709E+001, 3.5000988E+001, 3.5001206E+001, 3.5001321E+001
 5.2237142E-003, 3.4998771E+001, 3.4998898E+001, 3.4999128E+001, 3.4999418E+001, 3.4999704E+001, 3.4999925E+001, 3.5000048E+001, 3.5000084E+001, 3.5000083E+001, 3.5000112E+001, 3.5000226E+001, 3.5000437E+001, 3.5000712E+001, 3.5000990E+001, 3.5001208E+001, 3.5001323E+001
 5.3348571E-003, 3.4998774E+001, 3.4998903E+001, 3.4999134E+001, 3.4999424E+001, 3.4999710E+001, 3.4999932E+001, 3.5000056E+001, 3.5000092E+001, 3.5000092E+001, 3.5000122E+001, 3.5000235E+001, 3.5000445E+001, 3.5000718E+001, 3.5000995E+001, 3.5001212E+001, 3.5001326E+001
 5.4459999E-003, 3.4998778E+001, 3.4998909E+001, 3.4999141E+001, 3.4999432E+001, 3.4999719E+001, 3.4999940E+001, 3.5000062E+001, 3.5000098E+001, 3.5000098E+001, 3.5000130E+001, 3.5000245E+001, 3.5000456E+001, 3.5000729E+001, 3.5001004E+001, 3.5001219E+001, 3.5001331E+001
 5.5571428E-003, 3.4998782E+001, 3.4998916E+001, 3.4999150E+001, 3.4999443E+001, 3.4999730E+001, 3.4999951E+001, 3.5000072E+001, 3.5000107E+001, 3.5000107E+001, 3.5000139E+001, 3.5000256E+001, 3.5000468E+001, 3.5000741E+001, 3.5001015E+001, 3.5001227E+001, 3.5001337E+001
 5.6682857E-003, 3.4998786E+001, 3.4998922E+001, 3.4999159E+001, 3.4999454E+001, 3.4999744E+001, 3.4999967E+001, 3.5000090E+001, 3.5000124E+001, 3.5000123E+001, 3.5000154E+001, 3.5000270E+001, 3.5000480E+001, 3.5000752E+001, 3.5001024E+001, 3.5001235E+001, 3.5001342E+001
 5.7794285E-003, 3.4998790E+001, 3.4998928E+001, 3.4999168E+001, 3.4999467E+001, 3.4999761E+001, 3.4999988E+001, 3.5000113E+001, 3.5000149E+001, 3.5000147E+001, 3.5000175E+001, 3.5000287E+001, 3.5000493E+001, 3.5000762E+001, 3.5001032E+001, 3.5001241E+001, 3.5001347E+001
 5.8905714E-003, 3.4998794E+001, 3.4998937E+001, 3.4999181E+001, 3.4999484E+001, 3.4999782E+001, 3.5000012E+001, 3.5000141E+001, 3.5000179E+001, 3.5000176E+001, 3.5000202E+001, 3.5000309E+001, 3.5000510E+001, 3.5000775E+001, 3.5001042E+001, 3.5001248E+001, 3.5001352E+001
 6.0017142E-003, 3.4998800E+001, 3.4998949E+001, 3.4999199E+001, 3.4999507E+001, 3.4999809E+001, 3.5000041E+001, 3.5000172E+001, 3.5000210E+001, 3.5000207E+001, 3.5000231E+001, 3.5000335E+001, 3.5000532E+001, 3.5000792E+001, 3.5001054E+001, 3.5001257E+001, 3.5001357E+001
 6.1128571E-003, 3.4998808E+001, 3.4998965E+001, 3.4999224E+001, 3.4999538E+001, 3.4999845E+001, 3.5000080E+001, 3.5000210E+001, 3.5000246E+001, 3.5000241E+001, 3.5000262E+001, 3.5000363E+001, 3.5000557E+001, 3.5000812E+001, 3.5001069E+001, 3.5001266E+001, 3.5001361E+001
 6.2239999E-003, 3.4998819E+001, 3.4998987E+001, 3.4999257E+001, 3.4999582E+001, 3.4999895E+001, 3.5000134E+001, 3.5000263E+001, 3.5000295E+001, 3.5000283E+001, 3.5000298E+001, 3.5000393E+001, 3.5000581E+001, 3.5000830E+001, 3.5001081E+001, 3.5001272E+001, 3.5001362E+001
 6.3351428E-003, 3.4998834E+001, 3.4999019E+001, 3.4999305E+001, 3.4999645E+001, 3.4999970E+001, 3.5000214E+001, 3.5000341E+001, 3.5000365E+001, 3.5000340E+001, 3.5000339E+001, 3.5000419E+001, 3.5000595E+001, 3.5000835E+001, 3.5001079E+001, 3.5001266E+001, 3.5001352E+001
 6.4462856E-003, 3.4998860E+001, 3.4999070E+001, 3.4999382E+001, 3.4999745E+001, 3.5000086E+001, 3.5000336E+001, 3.5000457E+001, 3.5000463E+001, 3.5000411E+001, 3.5000381E+001, 3.5000433E+001, 3.5000587E+001, 3.5000813E+001, 3.5001051E+001, 3.5001236E+001, 3.5001323E+001
 6.5574285E-003, 3.4998912E+001, 3.4999162E+001, 3.4999515E+001, 3.4999913E+001, 3.5000274E+001, 3.5000526E+001, 3.5000627E+001, 3.5000595E+001, 3.5000494E+001, 3.5000410E+001, 3.5000415E+001, 3.5000534E+001, 3.5000741E+001, 3.5000974E+001, 3.5001162E+001, 3.5001258E+001
 6.6685714E-003, 3.4999015E+001, 3.4999332E+001, 3.4999751E+001, 3.5000202E+001, 3.5000591E+001, 3.5000834E+001, 3.5000888E+001, 3.5000777E+001, 3.5000579E+001, 3.5000398E+001, 3.5000322E+001, 3.5000387E+001, 3.5000569E+001, 3.5000801E+001, 3.5001007E+001, 3.5001127E+001
 6.7797142E-003, 3.4999211E+001, 3.4999640E+001, 3.5000170E+001, 3.5000708E+001, 3.5001135E+001, 3.5001350E+001, 3.5001306E+001, 3.5001039E+001, 3.5000658E+001, 3.5000299E+001, 3.5000081E+001, 3.5000056E+001, 3.5000204E+001, 3.5000449E+001, 3.5000698E+001, 3.5000875E+001
 6.8908571E-003, 3.4999579E+001, 3.5000195E+001, 3.5000909E+001, 3.5001588E+001, 3.5002070E+001, 3.5002222E+001, 3.5001990E+001, 3.5001435E+001, 3.5000717E+001, 3.5000035E+001, 3.4999563E+001, 3.4999385E+001, 3.4999485E+001, 3.4999770E+001, 3.5000115E+001, 3.5000411E+001
 7.0019999E-003, 3.5000246E+001, 3.5001175E+001, 3.5002195E+001, 3.5003104E+001, 3.5003666E+001, 3.5003692E+001, 3.5003117E+001, 3.5002044E+001, 3.5000725E+001, 3.4999472E+001, 3.4998555E+001, 3.4998116E+001, 3.4998147E+001, 3.4998522E+001, 3.4999056E+001, 3.4999580E+001
 7.1131428E-003, 3.5001422E+001, 3.5002869E+001, 3.5004392E+001, 3.5005672E+001, 3.5006349E+001, 3.5006137E+001, 3.5004953E+001, 3.5002978E+001, 3.5000621E+001, 3.4998388E+001, 3.4996713E+001, 3.4995839E+001, 3.4995772E+001, 3.4996322E+001, 3.4997205E+001, 3.4998142E+001
 7.2242856E-003, 3.5003431E+001, 3.5005719E+001, 3.5008056E+001, 3.5009929E+001, 3.5010767E+001, 3.5010129E+001, 3.5007903E+001, 3.5004402E+001, 3.5000303E+001, 3.4996434E+001, 3.4993507E+001, 3.4991927E+001, 3.4991716E+001, 3.4992586E+001, 3.4994079E+001, 3.4995733E+001
 7.3354285E-003, 3.5006752E+001, 3.5010381E+001, 3.5014009E+001, 3.5016810E+001, 3.5017874E+001, 3.5016511E+001, 3.5012560E+001, 3.5006555E+001, 3.4999615E+001, 3.4993091E+001, 3.4988148E+001, 3.4985446E+001, 3.4985034E+001, 3.4986454E+001, 3.4988968E+001, 3.4991815E+001
 7.4465714E-003, 3.5012068E+001, 3.5017779E+001, 3.5023403E+001, 3.5027629E+001, 3.5029013E+001, 3.5026467E+001, 3.5019757E+001, 3.5009771E+001, 3.4998331E+001, 3.4987623E+001, 3.4979519E+001, 3.4975075E+001, 3.4974381E+001, 3.4976706E+001, 3.4980866E+001, 3.4985629E+001
 7.5577142E-003, 3.5020304E+001, 3.5029160E+001, 3.5037795E+001, 3.5044154E+001, 3.5045983E+001, 3.5041583E+001, 3.5030609E+001, 3.5014491E+001, 3.4996140E+001, 3.4979028E+001, 3.4966104E+001, 3.4959031E+001, 3.4957943E+001, 3.4961696E+001, 3.4968420E+001, 3.4976158E+001
 7.6688571E-003, 3.5032655E+001, 3.5046131E+001, 3.5059175E+001, 3.5068642E+001, 3.5071076E+001, 3.5063871E+001, 3.5046514E+001, 3.5021249E+001, 3.4992617E+001, 3.4966004E+001, 3.4945959E+001, 3.4935027E+001, 3.4933403E+001, 3.4939325E+001, 3.4949905E+001, 3.4962107E+001
 7.7799999E-003, 3.5050581E+001, 3.5070638E+001, 3.5089947E+001, 3.5103803E+001, 3.5107032E+001, 3.5095720E+001, 3.5069116E+001, 3.5030644E+001, 3.4987204E+001, 3.4946951E+001, 3.4916723E+001, 3.4900312E+001, 3.4897984E+001, 3.4907082E+001, 3.4923262E+001, 3.4941932E+001
